"","latitude","longitude"
"200",-13.30579,141.9249
"201",-15.52444,134.50491
"202",-15.52599,134.48926
"203",-13.30513,141.92972
"204",-13.30117,141.95854
"205",-13.35705,141.96362
"206",-13.3083,141.93506
"207",-13.3108,141.94521
"208",-15.53347,134.47911
"209",-15.53988,134.47978
"210",-15.50874,134.52162
"211",-15.50762,134.53227
"212",-15.49881,134.50252
"213",-11.77741,142.16664
"214",-13.29746,141.92868
"215",-13.29287,141.96225
"216",-13.29998,141.9388
"217",-13.30064,141.93399
"218",-13.3013,141.92918
"219",-13.30196,141.92436
"220",-15.51411,134.41199
"221",-15.51232,134.42537
"222",-15.51175,134.43074
"223",-13.29801,141.95323
"224",-11.91253,142.38977
"225",-15.51305,134.42285
"226",-15.51252,134.42824
"227",-15.512,134.43367
"228",-11.88903,142.28801
"229",-11.83834,142.25569
"230",-11.67696,142.16737
"231",-11.64797,142.15866
"232",-11.63317,142.12933
"233",-13.29409,141.98183
"234",-13.00687,132.56897
"235",-12.99293,132.56741
"236",-12.99633,132.5341
"237",-12.98935,132.53328
"238",-12.97965,132.5592
"239",-12.981,132.54585
"240",-12.99502,132.56572
"241",-12.99573,132.55917
"242",-12.40714,132.72423
"243",-12.40697,132.72267
"244",-12.98107,132.56422
"245",-12.98179,132.5575
"246",-12.98323,132.54419
"247",-12.45153,132.75938
"248",-12.46089,132.48593
"249",-12.46017,132.49252
"250",-12.46786,132.48666
"251",-12.45952,132.48727
"252",-12.45883,132.49388
"253",-12.46649,132.48801
"254",-13.28742,132.32469
"255",-13.28101,132.31688
"256",-13.28347,132.32338
"257",-13.2842,132.31636
"258",-13.27783,132.30856
"259",-12.39962,132.72981
"260",-12.40027,132.72348
"261",-12.39872,132.73454
"262",-12.39941,132.72827
"263",-12.40009,132.72194
"264",-12.39322,132.72128
"265",-12.99936,132.52583
"266",-12.99864,132.53244
"267",-13.00468,132.52159
"268",-13.004,132.5282
"269",-13.00331,132.53491
"270",-13.0089,132.54927
"271",-13.00821,132.556
"272",-12.45225,141.70392
"273",-12.4529,141.6991
"274",-12.44775,141.70821
"275",-13.00057,132.56171
"276",-12.9999,132.56824
"277",-13.00754,132.56252
"278",-34.21762,142.30875
"279",-34.21107,142.30594
"280",-41.87023,145.37575
"281",-34.80534,143.47404
"282",-34.80964,143.48492
"283",-34.80714,143.49287
"284",-34.8259,135.79828
"285",-16.69624,124.76735
"286",-16.69696,124.76302
"287",-16.69553,124.77165
"288",-16.69339,124.78454
"289",-16.72832,124.77727
"290",-16.73626,124.77428
"291",-16.73914,124.77925
"292",-16.74129,124.78854
"293",-16.7427,124.80217
"294",-16.5163,123.88168
"295",-16.66376,124.89542
"296",-16.64349,124.77163
"297",-16.60726,124.80965
"298",-16.61088,124.78835
"299",-16.61162,124.78397
"300",-16.61237,124.77956
"301",-16.68545,124.76526
"302",-16.68472,124.76961
"303",-16.68184,124.7646
"304",-16.67751,124.7683
"305",-14.19238,132.83798
"306",-14.18661,132.84358
"307",-14.19134,132.84291
