POSTAL_CODE,lon,lat
1570,NA,NA
1582,NA,NA
1585,NA,NA
1590,NA,NA
1595,NA,NA
1597,NA,NA
1602,NA,NA
1630,NA,NA
1635,NA,NA
1639,NA,NA
1640,NA,NA
1655,NA,NA
1658,NA,NA
1660,NA,NA
1670,NA,NA
1671,NA,NA
1675,NA,NA
1680,NA,NA
1685,NA,NA
1690,NA,NA
1691,NA,NA
1692,NA,NA
1693,NA,NA
1694,NA,NA
1695,NA,NA
1696,NA,NA
1697,NA,NA
1698,NA,NA
1699,NA,NA
1700,133.775136,-25.274398
1701,NA,NA
1710,NA,NA
1712,NA,NA
1715,NA,NA
1730,NA,NA
1740,NA,NA
1741,NA,NA
1750,NA,NA
1755,NA,NA
1765,NA,NA
1771,143.8055487,-37.5506492
1781,NA,NA
1790,133.775136,-25.274398
1797,150.7294679,-33.7649075
1800,145.164086,-37.90424600000001
1805,133.775136,-25.274398
1811,NA,NA
1825,149.1824656,-35.3271023
1826,133.775136,-25.274398
1830,147.8505516,-43.1458551
1831,151.2052778,-33.8783333
1835,133.775136,-25.274398
1848,NA,NA
1851,133.775136,-25.274398
1860,139.0672508,-34.7244268
1871,145.007,-37.899
1875,133.775136,-25.274398
1885,133.775136,-25.274398
1888,151.1970516,-33.8726709
1890,133.775136,-25.274398
1891,138.592163,-34.987591
1900,NA,NA
1902,144.6611745,-38.2679009
2000,151.20733,-33.8708464
2001,NA,NA
2002,133.775136,-25.274398
2004,NA,NA
2006,NA,NA
2007,151.1952862,-33.8771184
2008,151.1993383,-33.8850259
2009,NA,NA
2010,151.214711,-33.8777803
2011,151.2189414,-33.8743982
2012,NA,NA
2015,151.197329,-33.9087629
2016,NA,NA
2017,NA,NA
2018,NA,NA
2019,NA,NA
2020,NA,NA
2021,151.2239998,-33.8949661
2022,151.2495903,-33.8956547
2023,NA,NA
2024,151.2597927,-33.9046399
2025,NA,NA
2026,151.2714535,-33.8922511
2027,151.2379312,-33.87222879999999
2028,151.2437606,-33.8788259
2029,151.265623,-33.8754209
2030,NA,NA
2031,151.2393885,-33.9122447
2032,151.2306446,-33.9279209
2033,151.2189869,-33.9096151
2034,151.2539627,-33.9236193
2035,151.2393885,-33.942927
2036,151.2393885,-33.9735997
2037,151.1840188,-33.8802599
2038,151.1723645,-33.8824062
2039,151.1738213,-33.8661553
2040,151.1525215,-33.8703546
2041,151.1781916,-33.8583166
2042,151.1781916,-33.8992314
2043,151.1854757,-33.90236489999999
2044,151.1665377,-33.921824
2045,151.1374068,-33.87860879999999
2046,151.1315813,-33.8566687
2047,151.1548847,-33.8523805
2048,151.165081,-33.8920561
2049,151.1548847,-33.8932918
2050,-123.122266,49.2858125
2052,151.229916,-33.916869
2055,NA,NA
2057,NA,NA
2058,151.2502859,-33.8915211
2059,NA,NA
2060,151.20733,-33.8401473
2061,151.2146155,-33.8483957
2062,151.2146155,-33.8228068
2063,151.2189869,-33.8123999
2064,151.1840188,-33.8086312
2065,151.195674,-33.8269489
2066,151.1694511,-33.8126017
2067,151.1781916,-33.7969122
2068,151.20733,-33.7992003
2069,151.195674,-33.7808794
2070,151.1693413,-33.7787851
2071,151.1665377,-33.7632319
2072,151.1548847,-33.7551473
2073,151.134494,-33.7627554
2074,151.1577979,-33.6867425
2075,151.1694511,-33.7204426
2076,151.1228434,-33.7085861
2077,151.0995447,-33.6924088
2079,151.125756,-33.6709087
2080,NA,NA
2081,151.1694511,-33.5769126
